@relation bookkeeper

@attribute NumberRevisions real
@attribute NumberAuthors real
@attribute LOC real
@attribute AGE real
@attribute CHURN real
@attribute LOC_TOUCHED real
@attribute AvgLocAdded real
@attribute MaxLocAdded real
@attribute AvgChgSet real
@attribute MaxChgSet real
@attribute numImports real
@attribute numComments real
@attribute Buggy {Yes, No}

@data
3,2,48,33,48,56,16,48,161,282,9,123,No
2,2,63,22,63,67,31,63,227,282,10,106,No
2,2,237,22,237,257,118,237,227,282,20,426,No
3,2,133,33,133,139,44,133,161,282,27,138,No
4,2,136,33,136,150,34,136,145,282,58,222,No
3,2,176,33,176,181,58,176,184,282,22,180,No
2,2,46,22,46,47,23,46,227,282,0,46,No
5,3,127,33,127,137,25,127,117,282,57,280,No
3,2,148,33,148,152,49,148,184,282,16,252,No
2,2,58,22,58,59,29,58,227,282,4,76,No
2,2,149,22,149,152,74,149,227,282,12,160,No
2,2,74,22,74,78,37,74,227,282,4,80,No
1,1,37,0,37,37,37,37,282,282,0,27,No
2,2,38,22,38,40,19,38,227,282,0,56,No
2,2,39,22,39,40,19,39,227,282,0,58,No
4,2,95,33,95,107,23,95,145,282,34,220,No
3,2,87,33,87,91,29,87,184,282,13,150,No
4,2,70,33,70,78,17,70,145,282,30,164,No
4,2,113,33,113,123,28,113,145,282,42,244,No
6,3,332,34,326,417,54,329,97,282,112,1279,No
4,2,83,33,83,93,20,83,145,282,34,200,No
3,2,58,33,58,63,19,58,161,282,27,92,No
4,2,122,33,122,130,30,122,145,282,46,260,No
3,2,359,33,359,370,119,359,184,282,64,570,No
1,1,369,0,369,369,369,369,31,31,23,192,No
5,2,229,33,224,243,44,224,117,282,102,584,No
4,2,585,33,585,645,146,585,145,282,126,1173,No
5,2,365,33,365,390,73,365,119,282,142,980,No
4,2,98,33,98,108,24,98,145,282,42,220,No
1,1,41,0,41,41,41,41,282,282,2,25,No
2,2,65,22,65,79,32,65,227,282,12,70,No
3,3,48,33,54,55,18,45,166,282,15,93,No
2,2,47,22,47,51,23,47,227,282,2,82,No
4,3,184,34,183,205,46,185,141,282,24,424,No
1,1,49,0,49,49,49,49,282,282,2,23,No
1,1,50,0,50,50,50,50,282,282,0,26,No
2,2,97,33,97,100,48,97,190,282,11,76,No
1,1,138,0,138,138,138,138,282,282,1,75,No
1,1,43,0,43,43,43,43,282,282,0,25,No
1,1,42,0,42,42,42,42,282,282,0,24,No
1,1,56,0,56,56,56,56,282,282,3,30,No
2,2,51,22,51,52,25,51,227,282,6,72,No
1,1,41,0,41,41,41,41,282,282,3,24,No
2,2,104,22,104,111,52,104,227,282,6,84,No
1,1,54,0,54,54,54,54,282,282,3,27,No
2,2,162,22,162,163,81,162,227,282,4,102,No
2,2,6231,1,6067,12250,3047,6095,89,172,0,3056,No
2,2,153,22,153,155,76,153,227,282,16,128,No
1,1,43,0,43,43,43,43,282,282,4,26,No
2,2,41,22,41,42,20,41,227,282,4,54,No
3,2,104,33,104,155,34,104,184,282,19,133,No
5,3,103,33,104,148,20,103,124,282,68,213,No
4,3,91,33,91,126,22,91,143,282,33,169,No
3,2,100,33,100,151,33,100,184,282,55,123,No
1,1,45,0,45,45,45,45,282,282,3,27,No
2,2,289,22,289,290,144,289,227,282,26,198,No
2,2,31,33,31,35,15,31,190,282,3,44,No
1,1,111,0,111,111,111,111,282,282,7,43,No
2,2,35,22,35,36,17,35,227,282,0,50,No
1,1,81,0,81,81,81,81,282,282,7,35,No
1,1,27,0,27,27,27,27,282,282,0,21,No
1,1,28,0,28,28,28,28,282,282,1,22,No
2,2,29,22,29,30,14,29,227,282,6,42,No
4,3,564,33,565,600,141,561,138,282,113,1107,No
2,2,64,22,64,80,32,64,227,282,18,62,No
2,2,29,22,29,30,14,29,227,282,2,48,No
2,2,64,22,64,65,32,64,227,282,18,64,No
2,2,37,22,37,40,18,37,227,282,4,62,No
2,2,68,22,68,79,34,68,227,282,22,66,No
3,2,153,33,153,165,51,153,184,282,67,198,No
2,2,72,22,72,73,36,72,227,282,24,64,No
6,3,378,33,382,400,63,364,103,282,346,776,No
2,2,76,22,76,78,38,76,227,282,20,78,No
3,2,158,33,158,163,52,158,184,282,70,180,No
3,2,736,33,736,886,245,736,184,282,115,891,No
2,2,74,22,74,76,37,74,227,282,4,73,No
3,2,93,33,93,97,31,93,184,282,16,120,No
1,1,22,0,22,22,22,22,282,282,0,18,No
3,2,426,33,426,439,142,426,184,282,64,432,No
1,1,62,0,62,62,62,62,282,282,2,31,No
2,2,58,22,58,59,29,58,227,282,6,60,No
2,2,91,22,91,96,45,91,227,282,6,158,No
2,2,27,22,27,28,13,27,227,282,0,46,No
2,2,77,22,77,79,38,77,227,282,2,82,No
3,2,703,33,703,742,234,703,184,282,70,1161,No
2,2,63,22,63,67,31,63,227,282,2,108,No
1,1,37,0,37,37,37,37,282,282,0,22,No
2,2,64,22,64,65,32,64,227,282,4,70,No
2,2,124,22,124,127,62,124,227,282,22,100,No
4,2,159,33,159,167,39,159,145,282,98,205,No
2,2,36,22,36,41,18,36,227,282,2,50,No
2,2,57,33,57,60,28,57,190,282,17,58,No
1,1,62,0,62,62,62,62,282,282,9,31,No
4,2,129,33,129,142,32,129,145,282,74,236,No
2,2,73,33,73,76,36,73,190,282,19,68,No
3,2,82,33,82,86,27,82,184,282,40,102,No
1,1,74,0,74,74,74,74,282,282,9,37,No
2,2,48,33,48,50,24,48,156,282,6,68,No
2,2,60,22,60,61,30,60,227,282,8,74,No
3,2,70,33,70,76,23,70,161,282,30,126,No
4,2,181,33,180,202,45,180,145,282,92,302,No
1,1,53,0,53,53,53,53,282,282,5,30,No
4,2,451,33,451,472,112,450,138,282,93,804,No
1,1,39,0,39,39,39,39,282,282,2,23,No
2,2,78,22,78,82,39,78,227,282,18,88,No
2,2,64,22,64,65,32,64,227,282,4,72,No
2,2,31,22,31,32,15,31,227,282,2,52,No
2,2,57,22,57,61,28,57,227,282,4,100,No
2,2,104,22,104,111,52,104,227,282,8,182,No
1,1,32,0,32,32,32,32,282,282,1,21,No
3,2,226,33,226,279,75,226,184,282,73,252,No
4,3,189,33,187,208,46,187,139,282,62,353,No
2,2,75,22,75,81,37,75,227,282,12,128,No
1,1,28,0,28,28,28,28,282,282,2,21,No
2,2,52,22,52,54,26,52,227,282,12,60,No
3,2,428,33,445,506,148,428,184,282,76,418,No
2,2,104,22,104,134,52,104,227,282,8,94,No
1,1,35,0,35,35,35,35,282,282,2,22,No
2,2,98,22,98,99,49,98,227,282,8,62,No
3,2,78,33,78,94,26,78,184,282,28,123,No
2,2,57,22,57,60,28,57,227,282,10,53,No
3,2,233,22,233,396,78,231,156,282,44,151,No
3,2,171,22,171,284,57,171,156,282,66,147,No
1,1,51,0,51,51,51,51,282,282,5,28,No
1,1,57,0,57,57,57,57,282,282,4,27,No
3,2,230,33,230,250,76,230,161,282,51,243,No
3,2,133,33,133,138,44,133,184,282,28,204,No
4,2,221,33,221,230,55,221,145,282,58,429,No
2,2,61,33,61,64,30,61,190,282,13,70,No
3,2,128,10,128,133,42,128,91,172,52,162,No
2,2,65,22,65,68,32,65,227,282,12,66,No
1,1,116,0,116,116,116,116,282,282,12,49,No
2,2,166,22,166,177,83,166,227,282,58,136,No
3,2,692,33,692,731,230,692,161,282,115,684,No
3,2,93,33,93,101,31,93,161,282,36,133,No
3,2,260,33,260,276,86,260,161,282,75,267,No
1,1,170,0,170,170,170,170,282,282,11,72,No
8,3,135,33,170,188,21,126,79,282,127,481,No
2,2,112,22,112,114,56,112,227,282,20,80,No
2,2,48,22,48,55,24,48,227,282,10,58,No
2,2,76,22,76,79,38,76,227,282,16,81,No
2,2,129,22,129,131,64,129,227,282,34,100,No
1,1,53,0,53,53,53,53,282,282,4,30,No
3,2,305,33,305,311,101,305,184,282,43,282,No
1,1,54,0,54,54,54,54,282,282,6,29,No
2,2,268,22,268,277,134,268,227,282,24,184,No
2,2,52,22,52,53,26,52,227,282,18,52,No
2,2,206,22,206,223,103,206,227,282,32,180,No
2,2,64,22,64,66,32,64,227,282,14,62,No
1,1,206,0,206,206,206,206,4,4,15,83,No
4,3,312,33,314,319,78,311,138,282,71,434,No
1,1,47,0,47,47,47,47,282,282,5,28,No
2,2,92,22,92,93,46,92,227,282,20,86,No
3,1,200,8,210,227,70,177,7,10,70,165,No
2,1,265,8,267,284,133,260,9,10,56,98,Yes
5,3,438,13,424,559,89,425,6,10,173,516,No
2,2,306,57,-36,376,17,35,5,8,55,149,No
4,2,213,13,212,220,53,211,6,10,80,223,No
20,3,1049,59,-128,976,13,97,9,26,722,6811,Yes
2,2,51,10,51,54,26,52,10,14,5,66,No
2,2,147,58,45,63,22,40,23,26,2,106,Yes
2,2,32,10,31,35,16,33,10,14,3,53,No
1,1,684,0,684,684,684,684,15,15,26,224,Yes
2,1,195,10,196,202,98,195,14,20,34,141,Yes
13,3,485,62,-156,650,8,34,8,26,279,2118,Yes
1,1,40,0,40,40,40,40,7,7,0,31,No
5,1,242,62,40,137,8,14,8,15,39,359,Yes
4,3,320,10,199,401,49,160,13,26,100,279,Yes
8,3,470,13,514,560,65,378,9,26,122,1634,Yes
1,1,32,0,32,32,32,32,7,7,1,26,No
2,1,67,3,69,74,34,69,8,10,4,65,No
5,2,186,8,189,213,37,183,10,16,37,445,Yes
3,2,560,3,565,591,189,550,13,26,44,660,Yes
3,1,157,12,158,161,52,157,8,12,25,180,Yes
8,2,440,57,76,157,13,89,9,20,99,858,Yes
2,1,53,6,79,80,39,79,11,14,2,67,No
9,3,765,11,793,952,93,712,8,26,149,1813,Yes
1,1,60,0,60,60,60,60,14,14,0,50,No
5,1,128,54,22,77,5,19,8,12,25,250,Yes
2,1,100,3,111,120,56,113,8,10,10,102,No
2,1,52,3,53,55,26,53,8,10,4,65,No
2,2,162,60,2,9,1,2,21,26,5,65,Yes
1,1,91,0,91,91,91,91,10,10,3,75,No
1,1,58,0,58,58,58,58,15,15,3,38,Yes
1,1,44,0,44,44,44,44,15,15,8,29,Yes
1,1,139,60,0,12,0,0,16,16,1,110,Yes
1,1,282,52,11,11,11,11,15,15,1,104,No
8,3,603,61,53,226,8,27,7,12,176,3062,Yes
6,2,795,31,73,113,12,51,11,26,180,2670,Yes
5,1,214,61,16,25,3,7,7,12,110,445,Yes
1,1,55,43,0,9,0,0,4,4,2,29,No
3,2,184,60,0,10,0,2,18,26,27,251,Yes
1,1,65,45,0,13,0,0,12,12,0,56,Yes
2,1,150,58,-18,44,0,0,16,26,24,160,Yes
9,3,845,60,50,237,7,20,9,26,228,3637,Yes
5,3,288,58,48,70,9,44,10,26,53,665,Yes
1,1,171,52,4,5,4,4,15,15,11,71,No
6,3,159,60,1,32,0,2,14,26,84,424,Yes
1,1,84,43,5,26,5,5,4,4,7,37,No
2,2,169,60,4,5,2,4,15,16,14,146,Yes
3,2,184,52,16,17,5,15,9,15,48,214,Yes
5,2,121,43,0,67,1,4,15,26,45,249,Yes
1,1,79,27,0,2,0,0,16,16,4,51,Yes
1,1,90,45,8,32,15,15,12,12,1,46,Yes
3,3,116,29,18,21,6,10,13,16,21,236,Yes
3,2,260,24,56,61,18,30,6,7,5,559,Yes
6,2,468,24,168,187,28,110,7,14,9,1786,Yes
1,1,27,0,27,27,27,27,3,3,1,23,No
2,1,86,8,88,89,44,84,4,5,10,99,No
4,3,267,23,26,36,6,23,10,26,60,534,Yes
2,2,185,17,-19,36,2,3,6,7,36,185,No
4,2,516,17,-9,53,3,7,4,7,93,978,No
1,1,209,23,5,5,5,5,26,26,11,107,Yes
1,1,147,7,3,5,3,3,6,6,5,127,No
1,1,98,23,0,1,0,0,26,26,4,55,Yes
1,1,132,0,132,132,132,132,7,7,6,66,No
1,1,236,0,236,236,236,236,14,14,1,107,No
3,2,203,60,46,49,15,26,7,15,54,200,Yes
3,2,166,60,18,20,6,8,12,16,0,327,Yes
9,2,480,60,103,155,11,59,12,26,213,1195,Yes
1,1,90,0,90,90,90,90,14,14,7,44,No
1,1,58,0,58,58,58,58,14,14,1,48,No
4,1,531,59,-5,14,0,0,12,26,72,683,Yes
10,3,650,60,19,206,3,15,8,26,410,2659,Yes
1,1,92,58,0,2,0,0,26,26,7,56,Yes
1,1,77,0,77,77,77,77,15,15,4,47,Yes
2,1,665,8,665,666,332,665,15,26,12,744,Yes
1,1,55,0,55,55,55,55,8,8,2,37,No
5,2,248,61,-14,136,2,4,10,26,126,356,Yes
1,1,47,0,47,47,47,47,15,15,3,29,Yes
1,1,43,0,43,43,43,43,15,15,1,37,Yes
9,3,516,15,577,627,65,394,9,20,252,1886,Yes
1,1,261,12,0,6,0,0,12,12,11,117,Yes
3,2,317,0,318,332,106,317,13,20,33,409,No
2,1,309,3,319,323,159,298,11,20,32,314,No
8,3,129,23,70,119,9,60,6,20,111,359,Yes
5,2,186,9,280,280,56,127,6,12,64,345,No
5,3,221,12,181,263,36,115,11,20,90,351,Yes
3,1,88,0,264,264,88,88,8,12,42,129,Yes
6,2,635,19,123,192,25,151,12,20,225,1742,Yes
1,1,127,0,127,127,127,127,3,3,10,52,Yes
1,1,30,0,30,30,30,30,6,6,1,22,Yes
2,2,138,19,1,4,0,1,7,8,38,106,Yes
4,3,355,19,37,47,9,31,12,20,60,595,No
5,2,101,18,101,108,20,101,9,12,95,205,Yes
1,1,167,0,167,167,167,167,7,7,16,51,No
1,1,43,15,-4,4,0,0,12,12,4,31,No
1,1,134,15,-1,4,0,0,12,12,13,56,No
1,1,77,0,77,77,77,77,7,7,12,43,No
1,1,261,15,0,4,0,0,12,12,18,91,No
1,1,113,30,0,1,0,0,5,5,18,47,Yes
7,2,273,50,-137,350,13,30,10,20,190,673,Yes
3,2,338,4,339,345,113,336,9,12,60,472,No
2,1,243,52,1,15,0,1,8,15,44,96,No
2,2,369,49,53,99,38,76,16,20,46,288,Yes
3,2,258,22,38,59,14,42,7,12,47,335,Yes
2,1,1166,60,126,131,63,126,11,16,62,711,Yes
2,2,92,29,-1,6,0,0,16,20,21,70,No
1,1,100,52,25,25,25,25,10,10,5,58,No
2,2,187,49,1,4,0,1,7,8,32,92,Yes
1,1,67,24,12,12,12,12,4,4,4,37,Yes
2,1,166,2,166,169,83,166,9,12,20,150,No
1,1,74,0,74,74,74,74,3,3,5,35,No
1,1,154,50,0,3,0,0,12,12,8,88,No
2,1,152,45,39,40,19,39,9,12,12,158,Yes
1,1,64,58,1,1,1,1,26,26,8,29,Yes
5,1,151,12,217,217,43,133,9,20,98,279,Yes
3,2,296,60,77,86,25,47,13,27,35,802,Yes
1,1,136,59,3,3,3,3,37,37,9,47,No
1,1,141,59,4,4,4,4,37,37,15,57,No
1,1,190,59,5,15,5,5,37,37,8,62,No
1,1,165,57,22,59,22,22,8,8,20,63,No
1,1,162,49,13,13,13,13,27,27,6,93,No
1,1,148,49,0,9,0,0,27,27,6,79,No
1,1,36,0,36,36,36,36,1,1,0,26,No
1,1,114,55,0,16,2,2,10,10,12,63,Yes
1,1,342,59,0,42,0,0,37,37,20,215,No
1,1,129,60,5,7,5,5,6,6,12,67,Yes
1,1,363,27,0,5,0,0,6,6,23,194,Yes
1,1,242,60,11,12,11,11,6,6,21,117,Yes
4,1,648,60,47,120,11,26,11,27,135,1255,Yes
1,1,366,55,0,1,0,0,10,10,29,196,Yes
1,1,103,60,3,5,3,3,6,6,11,55,Yes
1,1,63,57,9,9,9,9,8,8,5,41,No
1,1,143,59,5,5,5,5,37,37,1,77,No
1,1,56,59,0,3,0,0,37,37,3,30,No
1,1,6523,28,0,6504,0,0,27,27,0,1616,No
1,1,43,59,0,1,0,0,37,37,4,26,No
3,2,398,14,398,407,132,397,16,37,82,593,Yes
2,1,424,14,422,430,212,424,22,37,8,555,Yes
2,1,1035,14,1048,1057,524,1029,22,37,91,458,Yes
1,1,92,0,92,92,92,92,8,8,5,42,Yes
2,1,356,14,355,359,178,357,22,37,52,198,Yes
1,1,123,0,123,123,123,123,15,15,9,40,Yes
2,1,298,58,8,12,4,8,4,6,26,208,No
1,1,32,59,0,1,0,0,37,37,2,22,No
1,1,85,59,4,4,4,4,37,37,7,36,No
2,1,35,59,7,7,3,5,25,37,6,51,No
2,1,571,59,8,11,4,5,27,37,60,559,No
1,1,67,52,3,3,3,3,17,17,10,31,Yes
1,1,72,52,8,8,8,8,17,17,12,33,Yes
2,1,51,7,51,52,25,51,27,37,6,60,No
1,1,31,0,31,31,31,31,17,17,0,27,Yes
1,1,77,52,9,9,9,9,17,17,14,33,Yes
1,1,168,52,14,14,14,14,17,17,26,67,Yes
1,1,81,52,9,10,9,9,17,17,15,32,Yes
1,1,37,0,37,37,37,37,5,5,0,32,Yes
1,1,27,0,27,27,27,27,5,5,1,23,Yes
1,1,48,0,48,48,48,48,5,5,5,32,Yes
3,1,414,59,57,80,19,53,22,37,181,403,No
1,1,77,0,77,77,77,77,17,17,3,44,Yes
1,1,63,0,63,63,63,63,17,17,1,52,Yes
2,1,190,7,190,193,95,190,27,37,10,147,No
1,1,160,52,1,1,1,1,17,17,24,60,Yes
3,1,855,57,167,209,56,132,13,27,124,967,No
2,1,460,59,50,64,26,40,32,37,47,301,No
1,1,94,49,3,3,3,3,27,27,3,79,No
3,1,734,59,40,43,13,28,27,37,80,1180,No
1,1,64,0,64,64,64,64,17,17,1,38,Yes
1,1,45,0,45,45,45,45,17,17,0,38,Yes
2,1,171,59,13,25,8,10,23,37,50,107,No
1,1,36,59,0,2,0,0,37,37,1,25,No
1,1,132,55,2,6,4,4,10,10,20,57,Yes
1,1,74,55,0,1,0,0,10,10,10,34,Yes
1,1,86,49,1,18,1,1,27,27,11,49,No
3,1,358,59,222,255,74,219,17,37,92,350,No
4,1,566,59,136,185,34,97,20,37,105,925,No
