
Dataset,# Training,TrainingSet Size,TestSet Size,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa,Accuracy
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,Cost Sensitive,Under sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,RF,Over sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,IBk,Over sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,NB,Over sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,Cost Sensitive,Over sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,RF,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,IBk,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,NB,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,5,12795,2559,0.8333333333333334,0.04095349745994529,0.11645173896053146,Cost Sensitive,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,RF,No sampling,False,0.9518518518518518,0.0030581039755351682,0.9969418960244648,0.04814814814814815,0.9734848484848485,0.9518518518518518,0.9987427794767244,0.9581844297052319,0.9921844470496287
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,IBk,No sampling,False,0.9518518518518518,0.0030581039755351682,0.9969418960244648,0.04814814814814815,0.9734848484848485,0.9518518518518518,0.9983868097017944,0.9581844297052319,0.9921844470496287
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,NB,No sampling,False,1.0,0.0034949759720401923,0.9965050240279598,0.0,0.9712230215827338,1.0,0.9982525120139799,0.9836513306053608,0.9968737788198515
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,Cost Sensitive,No sampling,False,0.8555555555555555,0.00218435998252512,0.9978156400174749,0.14444444444444443,0.9788135593220338,0.8555555555555555,0.9266855977865153,0.9035509253786572,0.965220789370848
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,RF,Under sampling,False,1.0,0.0034949759720401923,0.9965050240279598,0.0,0.9712230215827338,1.0,0.9983180428134557,0.9836513306053608,0.9968737788198515
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,IBk,Under sampling,False,1.0,0.0034949759720401923,0.9965050240279598,0.0,0.9712230215827338,1.0,0.9982525120139799,0.9836513306053608,0.9968737788198515
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,NB,Under sampling,False,1.0,0.0034949759720401923,0.9965050240279598,0.0,0.9712230215827338,1.0,0.9982525120139799,0.9836513306053608,0.9968737788198515
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,Cost Sensitive,Under sampling,False,1.0,0.0034949759720401923,0.9965050240279598,0.0,0.9712230215827338,1.0,0.9982525120139799,0.9836513306053608,0.9687377881985151
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,RF,Over sampling,False,0.9888888888888889,0.0034949759720401923,0.9965050240279598,0.011111111111111112,0.9709090909090909,0.9888888888888889,0.9987532967655292,0.9774113172117432,0.9957014458772958
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,IBk,Over sampling,False,0.9703703703703703,0.0034949759720401923,0.9965050240279598,0.02962962962962963,0.9703703703703703,0.9703703703703703,0.9981805090367781,0.9668753943983303,0.993747557639703
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,NB,Over sampling,False,1.0,0.0034949759720401923,0.9965050240279598,0.0,0.9712230215827338,1.0,0.9982525120139799,0.9836513306053608,0.9968737788198515
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,Cost Sensitive,Over sampling,False,0.9296296296296296,0.002621231979030144,0.9973787680209698,0.07037037037037037,0.9766536964980544,0.9296296296296296,0.9636093717133473,0.9471199267986042,0.9691285658460336
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,RF,Smote,False,0.9518518518518518,0.0030581039755351682,0.9969418960244648,0.04814814814814815,0.9734848484848485,0.9518518518518518,0.9986918110771322,0.9581844297052319,0.9921844470496287
