Dataset,# Training,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,NB,No sampling,False,18700.0,69.0,45.0,3182.0,0.9963237252917044,0.854583676080797,0.744204561307299,0.017097385010737317
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,RF,Under sampling,False,5294.0,8.0,30.0,2000.0,0.998491135420596,0.7258020290649849,0.7597051650238841,0.019032140624091982
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,IBk,Under sampling,False,11273.0,32.0,44.0,3315.0,0.9971693940734189,0.7727584315876063,0.747827161473742,0.015640989684131548
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,NB,Under sampling,False,16652.0,40.0,74.0,5230.0,0.9976036424634556,0.7609907686683118,0.7499206269031504,0.017344938943593187
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,RF,Over sampling,False,6156.0,11.0,27.0,1138.0,0.9982163126317496,0.8439813545379764,0.8001241106605285,0.03520305419603796
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,IBk,Over sampling,False,12483.0,35.0,41.0,2105.0,0.9972040262022688,0.8557033177954483,0.7868787251237499,0.027164650538968257
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,NB,Over sampling,False,18013.0,47.0,67.0,3869.0,0.9973975636766335,0.8231880084087377,0.7594943051807381,0.023246851963282515
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,RF,Smote,False,6479.0,31.0,7.0,815.0,0.9952380952380953,0.8882643268439814,0.7773891302151732,0.00643531813306567
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,IBk,Smote,False,12261.0,39.0,37.0,2327.0,0.9968292682926829,0.840485330408555,0.791613600940932,0.020490992419376075
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,NB,Smote,False,17816.0,52.0,62.0,4066.0,0.9970897694201926,0.8141851750297048,0.747976787778788,0.01933961565534515
