@relation storm

@attribute NumberRevisions real
@attribute NumberAuthors real
@attribute LOC real
@attribute AGE real
@attribute CHURN real
@attribute LOC_TOUCHED real
@attribute AvgLocAdded real
@attribute MaxLocAdded real
@attribute AvgChgSet real
@attribute MaxChgSet real
@attribute numImports real
@attribute numComments real
@attribute Buggy {Yes, No}

@data
1,1,198,12,198,198,198,198,81,81,31,24,No
1,1,193,12,193,193,193,193,81,81,25,26,No
1,1,80,12,80,80,80,80,81,81,9,0,No
1,1,73,12,73,73,73,73,81,81,17,2,No
1,1,71,12,71,71,71,71,81,81,17,2,No
1,1,86,17,86,86,86,86,237,237,2,18,No
1,1,25,17,25,25,25,25,237,237,1,17,No
2,2,149,19,152,152,76,147,159,237,26,68,No
1,1,94,17,94,94,94,94,237,237,8,17,No
1,1,29,17,29,29,29,29,237,237,0,17,No
5,5,52,17,52,56,10,52,58,237,15,95,No
1,1,43,17,43,43,43,43,237,237,0,17,No
1,1,195,17,195,195,195,195,237,237,11,22,No
8,6,243,32,322,407,40,243,70,237,192,144,No
1,1,28,17,28,28,28,28,237,237,2,17,No
1,1,37,17,37,37,37,37,237,237,3,17,No
1,1,69,17,69,69,69,69,237,237,2,18,No
1,1,28,17,28,28,28,28,237,237,1,17,No
9,6,270,32,271,316,30,265,62,237,160,211,No
1,1,36,17,36,36,36,36,237,237,2,17,No
1,1,51,17,51,51,51,51,237,237,4,17,No
1,1,38,17,38,38,38,38,237,237,1,21,No
1,1,52,17,52,52,52,52,237,237,3,17,No
1,1,37,17,37,37,37,37,237,237,3,17,No
1,1,46,17,46,46,46,46,237,237,5,17,No
6,4,6,8,30,40,5,10,47,221,0,0,No
1,1,113,17,113,113,113,113,237,237,5,19,No
1,1,36,17,36,36,36,36,237,237,0,18,No
1,1,116,17,116,116,116,116,237,237,13,17,No
2,2,102,19,99,131,51,89,159,237,28,54,No
1,1,48,5,48,48,48,48,81,81,1,18,No
1,1,32,5,32,32,32,32,81,81,2,22,No
1,1,34,5,34,34,34,34,81,81,1,17,No
1,1,26,5,26,26,26,26,81,81,2,17,No
1,1,50,17,50,50,50,50,237,237,4,17,No
1,1,31,17,31,31,31,31,237,237,0,17,No
1,1,98,17,98,98,98,98,237,237,5,18,No
1,1,26,17,26,26,26,26,237,237,1,17,No
1,1,25,17,25,25,25,25,237,237,0,17,No
1,1,40,17,40,40,40,40,237,237,1,17,No
1,1,59,17,59,59,59,59,237,237,6,17,No
1,1,36,17,36,36,36,36,237,237,0,17,No
1,1,58,17,58,58,58,58,237,237,6,17,No
1,1,37,17,37,37,37,37,237,237,2,17,No
