
Dataset,# Training,TrainingSet Size,TestSet Size,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa,Accuracy
bookkeeper,5,750,150,0.8333333333333334,0.328,0.36666666666666664,NB,Smote,False,0.9454545454545454,1.0,0.0,0.05454545454545454,0.35374149659863946,0.9454545454545454,0.3722488038277512,-0.0403397027600849,0.3466666666666667
bookkeeper,6,900,150,0.8571428571428571,0.33444444444444443,0.0,RF,No sampling,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,6,900,150,0.8571428571428571,0.33444444444444443,0.0,IBk,No sampling,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,6,900,150,0.8571428571428571,0.33444444444444443,0.0,NB,No sampling,False,NaN,0.02,0.98,NaN,0.0,NaN,NaN,0.0,0.98
bookkeeper,6,900,150,0.8571428571428571,0.33444444444444443,0.0,RF,Under sampling,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,6,900,150,0.8571428571428571,0.33444444444444443,0.0,IBk,Under sampling,False,NaN,0.88,0.12,NaN,0.0,NaN,NaN,0.0,0.12
bookkeeper,6,900,150,0.8571428571428571,0.33444444444444443,0.0,NB,Under sampling,False,NaN,0.04,0.96,NaN,0.0,NaN,NaN,0.0,0.96
bookkeeper,6,900,150,0.8571428571428571,0.33444444444444443,0.0,RF,Over sampling,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,6,900,150,0.8571428571428571,0.33444444444444443,0.0,IBk,Over sampling,False,NaN,0.006666666666666667,0.9933333333333333,NaN,0.0,NaN,NaN,0.0,0.9933333333333333
bookkeeper,6,900,150,0.8571428571428571,0.33444444444444443,0.0,NB,Over sampling,False,NaN,0.02,0.98,NaN,0.0,NaN,NaN,0.0,0.98
bookkeeper,6,900,150,0.8571428571428571,0.33444444444444443,0.0,RF,Smote,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
